school_name,lng_wgs84,lat_wgs84
渤海船舶职业学院 ,120.781097,40.635905
大连软件职业学院,121.4914786,38.93559871
大连翻译职业学院,121.7535093,39.06404962
辽宁商贸职业学院,123.352904,41.78401004
大连枫叶职业技术学院,121.3020247,38.95961926
辽宁装备制造职业技术学院,123.5862359,41.9074422
辽河石油职业技术学院,122.0387494,41.19484338
辽宁地质工程职业学院,124.2726008,40.02691656
辽宁铁道职业技术学院,121.1442758,41.14257937
辽宁建筑职业学院,123.1594945,41.25362665
大连航运职业技术学院,121.1526004,38.79517088
大连装备制造职业技术学院,121.7008838,39.20101819
大连汽车职业技术学院,121.620755,39.01882413
辽宁现代服务职业技术学院,123.5852839,41.92901827
辽宁冶金职业技术学院,123.7721893,41.28027894
辽宁工程职业学院,123.7444303,42.24130993
辽宁城市建设职业技术学院,123.4859847,41.94331302
辽宁医药职业学院,123.3475013,41.67619419
铁岭卫生职业学院,123.7404699,42.24439868
沈阳北软信息职业技术学院,123.450366,41.92410897
辽宁政法职业学院,123.6147345,41.83743504
辽宁民族师范高等专科学校,123.4444368,41.82990157
辽宁轻工职业学院,121.7361095,39.07668582
辽宁特殊教育师范高等专科学校,123.6246728,41.68548051
辽宁师范高等专科学校,123.4048154,41.68108131
鞍山职业技术学院,122.9132421,41.14373859
吉林大学,125.3133623,43.87709213
延边大学,129.4947475,42.92229022
长春理工大学,125.3071744,43.82832708
东北电力大学,126.4973907,43.82085945
长春工业大学,125.3850602,43.9931176
吉林建筑大学,125.3616342,43.87372394
吉林化工学院,126.4062116,43.99492751
吉林农业大学,125.4039969,43.80792648
长春中医药大学,125.4148084,43.82563782
东北师范大学,125.4191601,43.82372554
北华大学,126.6003264,43.83459222
通化师范学院,125.9826584,41.74421545
吉林师范大学,124.3388358,43.15464425
吉林工程技术师范学院,125.3889025,43.91021439
长春师范大学,125.3899122,43.91041197
白城师范学院,122.802926,45.61342593
吉林财经大学,125.3616342,43.87372394
吉林体育学院,125.3332035,43.85967655
吉林艺术学院,125.3107017,43.8624168
吉林外国语大学,125.4347579,43.82101239
吉林工商学院,125.3616342,43.87372394
长春工程学院,125.2737035,43.84938974
吉林农业科技学院,126.1033078,44.04872696
吉林警察学院,125.407632,43.82388745
长春大学,125.2932191,43.82841086
长春光华学院,125.4283147,43.87496848
长春工业大学人文信息学院,125.4215591,43.77901815
长春电子科技学院,125.158243,44.00766
长春财经学院,125.4074501,43.78593464
吉林建筑科技学院,125.3616342,43.87372394
长春建筑学院,125.2726909,43.81510512
长春科技学院,125.6613373,43.53283559
吉林动画学院,125.3616342,43.87372394
吉林师范大学博达学院,124.3344705,43.1552807
长春大学旅游学院,125.5143578,43.6878097
长春人文学院,125.416371,43.82893
吉林医药学院,126.5584393,43.80161327
长春师范高等专科学校,125.1724187,44.07661222
辽源职业技术学院,125.1228318,42.8467433
四平职业大学,124.3323124,43.13705243
长春汽车工业高等专科学校,125.143592,43.82784142
长春金融高等专科学校,125.3213507,43.83610909
长春医学高等专科学校,125.4235034,43.88295705
吉林交通职业技术学院,125.3616342,43.87372394
长春东方职业学院,125.5031826,44.1327037
吉林司法警官职业学院,125.3620635,43.82830486
吉林电子信息职业技术学院,126.5566741,43.92090145
吉林工业职业技术学院,126.5523923,43.81923586
吉林工程职业学院,124.411707,43.16522285
长春职业技术学院,125.3600097,43.82939028
白城医学高等专科学校,122.7955069,45.60709146
长春信息技术职业学院,125.6583816,43.54108497
松原职业技术学院,124.8000218,45.20240203
吉林铁道职业技术学院,126.5438638,43.71685133
白城职业技术学院,122.7984038,45.64043009
长白山职业技术学院,126.3965543,41.9354068
吉林科技职业技术学院,125.3620635,43.82830486
延边职业技术学院,129.5401017,42.91366081
吉林城市职业技术学院,125.3616342,43.87372394
吉林职业技术学院,129.3947044,42.78413921
吉林水利电力职业学院,125.4177869,43.75067747
长春健康职业学院,125.2730745,43.81449008
长春早期教育职业学院,125.0028262,44.0058124
梅河口康美职业技术学院,125.7150919,42.52188119
吉林通用航空职业技术学院,126.353158,43.92026
通化医药健康职业学院,125.980939,41.726087
黑龙江大学,126.6218497,45.70472087
哈尔滨工业大学,126.6766561,45.75793469
